time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=187 HostName=DESKTOP-HIPHS03 Method=POST Path=/login SpendTime="21 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="2 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=3555 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/detail SpendTime="3 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=1984 HostName=DESKTOP-HIPHS03 Method=GET Path="/api/v1/article/detail?pageSize=6&pageNum=1" SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=424 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/category/detail SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=3555 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/detail SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=1984 HostName=DESKTOP-HIPHS03 Method=GET Path="/api/v1/article/detail?pageSize=6&pageNum=1" SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=424 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/category/detail SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:51:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=168 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="2 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:53:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=168 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-25 19:53:07" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=168 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
